Actual,Predicted,Method,Residual,AbsoluteError
38.5,38.78804283681183,Full TH-SHRC,-0.28804283681183307,0.28804283681183307
40.2,40.57806295881421,Full TH-SHRC,-0.3780629588142048,0.3780629588142048
38.2,38.220371748559785,Full TH-SHRC,-0.020371748559782077,0.020371748559782077
38.4,38.22350973321692,Full TH-SHRC,0.17649026678307678,0.17649026678307678
38.5,38.48687001972206,Full TH-SHRC,0.013129980277938103,0.013129980277938103
38.5,38.40743439177061,Full TH-SHRC,0.09256560822939264,0.09256560822939264
38.5,38.40760825079331,Full TH-SHRC,0.09239174920669058,0.09239174920669058
38.5,38.49413076274226,Full TH-SHRC,0.005869237257741133,0.005869237257741133
39.0,38.962160966703074,Full TH-SHRC,0.03783903329692606,0.03783903329692606
38.2,38.2788023270613,Full TH-SHRC,-0.07880232706129675,0.07880232706129675
39.5,39.502422869043045,Full TH-SHRC,-0.002422869043044784,0.002422869043044784
39.1,39.10317362580324,Full TH-SHRC,-0.003173625803235325,0.003173625803235325
39.2,39.18927872552604,Full TH-SHRC,0.010721274473965536,0.010721274473965536
38.9,38.917589654796096,Full TH-SHRC,-0.01758965479609742,0.01758965479609742
38.1,38.10184724888259,Full TH-SHRC,-0.0018472488825906908,0.0018472488825906908
38.1,38.11808533211557,Full TH-SHRC,-0.018085332115568065,0.018085332115568065
38.5,38.464288742140745,Full TH-SHRC,0.035711257859254886,0.035711257859254886
38.5,38.499129241303855,Full TH-SHRC,0.0008707586961449465,0.0008707586961449465
38.9,38.83850550032691,Full TH-SHRC,0.0614944996730884,0.0614944996730884
38.3,38.283543485219504,Full TH-SHRC,0.016456514780493592,0.016456514780493592
38.0,38.01884851947281,Full TH-SHRC,-0.01884851947281163,0.01884851947281163
38.0,38.01260105946625,Full TH-SHRC,-0.012601059466248898,0.012601059466248898
38.3,38.28088170198762,Full TH-SHRC,0.019118298012379853,0.019118298012379853
38.3,38.27898612021535,Full TH-SHRC,0.02101387978464686,0.02101387978464686
38.1,38.0848585143151,Full TH-SHRC,0.015141485684900147,0.015141485684900147
38.9,38.9022495483533,Full TH-SHRC,-0.002249548353304931,0.002249548353304931
38.6,38.67596745897821,Full TH-SHRC,-0.07596745897820512,0.07596745897820512
38.6,38.668524848403024,Full TH-SHRC,-0.06852484840302253,0.06852484840302253
38.5,38.655357957704624,Full TH-SHRC,-0.15535795770462357,0.15535795770462357
38.5,38.5527796953959,Full TH-SHRC,-0.05277969539589833,0.05277969539589833
38.6,38.3618640649653,Full TH-SHRC,0.23813593503469832,0.23813593503469832
39.1,39.07680289417,Full TH-SHRC,0.023197105830000453,0.023197105830000453
38.6,38.6111602392717,Full TH-SHRC,-0.01116023927169607,0.01116023927169607
39.2,39.1453804892396,Full TH-SHRC,0.0546195107604035,0.0546195107604035
38.1,38.2623354165265,Full TH-SHRC,-0.16233541652649564,0.16233541652649564
38.1,38.25767225557956,Full TH-SHRC,-0.15767225557955555,0.15767225557955555
